Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25696a	FR03484000	CRC0423PRX	CRC0423PR	Xenograft from primary CRC 
PD25697a	FR03483597	CRC0448PRH	CRC0448PR	Original primary CRC 
PD25697c2	FR03479890	CRC0448PRX	CRC0448PR	Xenograft from primary CRC 
PD25698a2	FR03479924	CRC0442LMX	CRC0442LM	Xenograft from CRC metastasis
PD25699a	FR03483660	CRC0466PRH	CRC0466PR	Original primary CRC 
PD25699c	FR03484032	CRC0466PRX	CRC0466PR	Xenograft from primary CRC 
PD25700a	FR03483676	CRC0474PRH	CRC0474PR	Original primary CRC 
PD25700c2	FR03479894	CRC0474PRX	CRC0474PR	Xenograft from primary CRC 
PD25701a	FR03483669	CRC0498LMH	CRC0498LM	Original CRC metastasis
PD25701c2	FR03479932	CRC0498LMX	CRC0498LM	Xenograft from CRC metastasis
PD25701d2	FR03479930	CRC0498PRX	CRC0498PR	Xenograft from primary CRC 
PD25702a2	FR03480615	CRC0580LMX	CRC0580LM	Xenograft from CRC metastasis
PD25703a2	FR03480675	CRC0574LMX	CRC0574LM	Xenograft from CRC metastasis
PD25704a2	FR03480522	CRC0600LMX	CRC0600LM	Xenograft from CRC metastasis
PD25705a2	FR03480691	CRC0601PRX	CRC0601PR	Xenograft from primary CRC 
PD25706a2	FR03480631	CRC0616LMX	CRC0616LM	Xenograft from CRC metastasis
PD25707a2	FR03480669	CRC0682PRX	CRC0682PR	Xenograft from primary CRC 
PD25709a2	FR03480671	CRC0712PRX	CRC0712PR	Xenograft from primary CRC 
PD25710a	FR03483002	CRC0707PRX	CRC0707PR	Xenograft from primary CRC 
PD25711a2	FR03480693	CRC0708LMX	CRC0708LM	Xenograft from CRC metastasis
PD25712a2	FR03480687	CRC0718LMX	CRC0718LM	Xenograft from CRC metastasis
PD25713a	FR03482915	CRC0716LMX	CRC0716LM	Xenograft from CRC metastasis
PD25714a	FR03482931	CRC0748PRX	CRC0748PR	Xenograft from primary CRC 
PD25715a2	FR03480678	CRC0745LMX	CRC0745LM	Xenograft from CRC metastasis
PD25716a2	FR03480641	CRC0719LMX	CRC0719LM	Xenograft from CRC metastasis
PD25717a2	FR03480648	CRC1064LMX	CRC1064LM	Xenograft from CRC metastasis
PD25718a2	FR03480695	CRC0734LMX	CRC0734LM	Xenograft from CRC metastasis
PD25719a2	FR03480614	CRC0735PRX	CRC0735PR	Xenograft from primary CRC 
PD25720a2	FR03480665	CRC0736PRX	CRC0736PR	Xenograft from primary CRC 
PD25721a2	FR03480703	CRC0740LMX	CRC0740LM	Xenograft from CRC metastasis
PD25721c2	FR03480616	CRC0740PRX	CRC0740PR	Xenograft from primary CRC 
PD25722a	FR03483003	CRC1070PRX	CRC1070PR	Xenograft from CRC metastasis
PD25723c2	FR03480697	CRC1063PRX	CRC1063PR	Xenograft from primary CRC 
PD25724a2	FR03480640	CRC0781LMX	CRC0781LM	Xenograft from CRC metastasis
PD25725a	FR03482932	CRC1082PRX	CRC1082PR	Xenograft from primary CRC 
PD25726a2	FR03480680	CRC1161PRX	CRC1161PR	Xenograft from primary CRC 
PD25727a	FR03482995	CRC1164PRX	CRC1164PR	Xenograft from primary CRC 
PD25728a	FR03482988	CRC1155LMX	CRC1155LM	Xenograft from CRC metastasis
PD25729a	FR03482956	CRC1137LMX	CRC1137LM	Xenograft from CRC metastasis
PD25731a	FR03482964	CRC1144LMX	CRC1144LM	Xenograft from primary CRC 
PD25731c	FR03482972	CRC1144PRX	CRC1144PR	Xenograft from primary CRC 
PD25732a	FR03483004	CRC1158PRX	CRC1158PR	Xenograft from primary CRC 
PD25733a	FR03482948	CRC1134PRX	CRC1134PR	Xenograft from primary CRC 
PD25734a2	FR03480672	CRC1142PRX	CRC1142PR	Xenograft from primary CRC 
PD25735a	FR03482965	CRC1194PRX	CRC1194PR	Xenograft from primary CRC 
PD25736a	FR03482970	CRC1182LMX	CRC1182LM	Xenograft from CRC metastasis
PD25736c	FR03482978	CRC1182PRX	CRC1182PR	Xenograft from primary CRC 
PD25737a2	FR03480696	CRC1170PRX	CRC1170PR	Xenograft from primary CRC 
PD25738a	FR03482917	CRC1166LMX	CRC1166LM	Xenograft from CRC metastasis
PD25739a	FR03482962	CRC1176PRX	CRC1176PR	Xenograft from primary CRC 
PD25740a	FR03482954	CRC1171PRX	CRC1171PR	Xenograft from primary CRC 
PD25741a	FR03482981	CRC1239LMX	CRC1239LM	Xenograft from CRC metastasis
PD25742a2	FR03480704	CRC1174PRX	CRC1174PR	Xenograft from primary CRC 
PD25743a2	FR03480617	CRC1175PRX	CRC1175PR	Xenograft from primary CRC 
PD25744a	FR03482982	CRC1247PRX	CRC1247PR	Xenograft from primary CRC 
PD25745a	FR03482997	CRC1249PRX	CRC1249PR	Xenograft from primary CRC 
PD25746a	FR03483667	CRC1242PRX	CRC1242PR	Xenograft from primary CRC 
PD25747a	FR03482966	CRC1245LMX	CRC1245LM	Xenograft from CRC metastasis
PD25748a	FR03482989	CRC1240LMX	CRC1240LM	Xenograft from primary CRC 
PD25748c	FR03482950	CRC1240PRX	CRC1240PR	Xenograft from primary CRC 
PD25749a	FR03482974	CRC1246PRX	CRC1246PR	Xenograft from primary CRC 
PD25750a	FR03482951	CRC1251LMX	CRC1251LM	Xenograft from CRC metastasis
PD25750c	FR03483675	CRC1251PRX	CRC1251PR	Xenograft from primary CRC 
PD25751a2	FR03480527	CRC1198LMX	CRC1198LM	Xenograft from CRC metastasis
PD25752a	FR03482943	CRC1237PRX	CRC1237PR	Xenograft from primary CRC 
PD25753a	FR03482973	CRC1197PRX	CRC1197PR	Xenograft from primary CRC 
PD25754a	FR03482934	CRC1201PRX	CRC1201PR	Xenograft from primary CRC 
PD25755a2	FR03480705	CRC1234PRX	CRC1234PR	Xenograft from primary CRC 
PD25756a	FR03482933	CRC1179PRX	CRC1179PR	Xenograft from primary CRC 
PD25757a	FR03482941	CRC1180PRX	CRC1180PR	Xenograft from primary CRC 
PD25758a	FR03483659	CRC1178PRX	CRC1178PR	Xenograft from primary CRC 
PD25759a	FR03482918	CRC1188PRX	CRC1188PR	Xenograft from CRC metastasis
PD25760a	FR03483005	CRC1181PRX	CRC1181PR	Xenograft from primary CRC 
