sample ID (based on genealogy)	profile	platform		Sanger ID		IRCC_full	Sample_PD_ID
CRC0014LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0423PRX	PD25696a
CRC0014LMX0A01201TUMD01000	GCN	RealTimePCR		PD25872a		CRC0448PRH	PD25697a
CRC0014LMX0A01201TUMD01000	GCN	WES		PD25872a		CRC0448PRX	PD25697c2
CRC0014LMX0A01201TUMD01000	MUT	SangerSequencing		PD25872a		CRC0442LMX	PD25698a2
CRC0014LMX0A01201TUMD01000	MUT	WES		PD25872a		CRC0466PRH	PD25699a
CRC0014LMX0A02201TUMD02000	GCN	TargetedNGS		PD25872a		CRC0466PRX	PD25699c
CRC0014LMX0A02201TUMD02000	MUT	TargetedNGS		PD25872a		CRC0474PRH	PD25700a
CRC0015LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A		CRC0474PRX	PD25700c2
CRC0017LMX0A01201TUMD01000	GCN	RealTimePCR		PD25881a		CRC0498LMH	PD25701a
CRC0017LMX0A02201TUMD02000	GCN	TargetedNGS		PD25881a		CRC0498LMX	PD25701c2
CRC0017LMX0A02201TUMD02000	MUT	TargetedNGS		PD25881a		CRC0498PRX	PD25701d2
CRC0018LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0580LMX	PD25702a2
CRC0018LMX0B01201TUMD01000	GCN	RealTimePCR		PD25896a		CRC0574LMX	PD25703a2
CRC0018LMX0B01201TUMD01000	MUT	SangerSequencing		PD25896a		CRC0600LMX	PD25704a2
CRC0018LMX0B01201TUMD06000	GCN	WES		PD25896a		CRC0601PRX	PD25705a2
CRC0018LMX0B01201TUMD06000	MUT	WES		PD25896a		CRC0616LMX	PD25706a2
CRC0018LMX0B02201TUMD04000	GCN	TargetedNGS		PD25896a		CRC0682PRX	PD25707a2
CRC0018LMX0B02201TUMD04000	MUT	TargetedNGS		PD25896a		CRC0712PRX	PD25709a2
CRC0019LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0707PRX	PD25710a
CRC0019LMX0A01201TUMD01000	GCN	RealTimePCR		PD25867a		CRC0708LMX	PD25711a2
CRC0019LMX0A02204TUMD05000	GCN	TargetedNGS		PD25867a		CRC0718LMX	PD25712a2
