Model	Drug	Manufacturer	Dose	Duration	Frequency	Arm Size	Response Class	Passage Range
CRC0014LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0014LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0018LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0018LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0019LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0019LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0021LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0021LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0022LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0022LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0024LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0024LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0025LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0025LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0027LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0027LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0028LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0028LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0029LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0029LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0030LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0030LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0031LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0031LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0032LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0032LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0053LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0053LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0054LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0054LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0055LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0055LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0056LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0056LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0057LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0057LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0058LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0058LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0059LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0059LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0060LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0060LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0061LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0061LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0062LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0062LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0063LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0063LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0064LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0064LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0065LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0065LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0066LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0066LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0067LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0067LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0068LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0068LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0069LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0069LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0070LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0070LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0071LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0071LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0073LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0073LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0076LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0076LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0077LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0077LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0078LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0078LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0079LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0079LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0080LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0080LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0081LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0081LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0082LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0082LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0085LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0085LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0094LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0094LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0095LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0095LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0096LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0096LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
